,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181,183,185,187,189,191,193,195,197,199
,0.013693,0.00803156,0.00699308,0.00725317,0.00614728,0.00611531,0.00585658,0.0066938,0.00602969,0.00611093,0.00642006,0.00597279,0.00590255,0.00580921,0.00595507,0.00581508,0.00599253,0.00630659,0.00597592,0.00621427,0.00628566,0.00610824,0.00556659,0.00582189,0.00590388,0.00759351,0.00611218,0.00568208,0.00598954,0.00621046,0.0057625,0.00584533,0.00615967,0.00624359,0.00556574,0.00650958,0.00572926,0.00595753,0.00578229,0.00572597,0.0056446,0.00596123,0.00562671,0.00596605,0.00572935,0.00646552,0.0056729,0.00585423,0.00584479,0.00625038,0.00575007,0.0063157,0.00638456,0.00598663,0.00581637,0.00627624,0.00630253,0.00571657,0.00720261,0.0063308,0.00588672,0.00567359,0.00575559,0.00635527,0.00652699,0.00583836,0.00638717,0.00615517,0.00581907,0.00638579,0.00606222,0.00586821,0.00574808,0.00573317,0.00617317,0.00581487,0.00574012,0.00574067,0.00593781,0.00698399,0.00840172,0.00597974,0.00608815,0.00650695,0.00844846,0.00589747,0.00606314,0.00668857,0.00771978,0.00655013,0.00665926,0.0066286,0.00659333,0.00733343,0.00601772,0.00585702,0.00599898,0.00626742,0.00622285,0.00594603
,0.00921871,0.00938982,0.00612486,0.00633738,0.00599902,0.00624448,0.00584325,0.00614004,0.0059341,0.00615147,0.00597266,0.00577783,0.00566044,0.00610707,0.00606423,0.00705461,0.00580352,0.00611965,0.00574745,0.00616773,0.00624891,0.0058725,0.00614705,0.00600505,0.0060033,0.007163,0.00579911,0.00664399,0.00572943,0.00571211,0.00601373,0.00589667,0.0060672,0.00592663,0.00667054,0.00592208,0.00558733,0.00597332,0.00573428,0.00726559,0.0062374,0.00603855,0.0062226,0.00621545,0.00565772,0.00628424,0.00569124,0.00574056,0.00649969,0.0059509,0.00581188,0.00598493,0.00589171,0.00581708,0.00621351,0.00584867,0.00585449,0.00573803,0.00585772,0.00578502,0.00585662,0.00624165,0.00572003,0.00633556,0.00657792,0.00567302,0.00577981,0.00574637,0.00684061,0.00614698,0.0060869,0.00604501,0.00570088,0.00582184,0.00571671,0.00729676,0.00617712,0.00579718,0.00577215,0.00813716,0.0119844,0.00610667,0.00625544,0.00578836,0.00756727,0.00605778,0.00582605,0.00804104,0.00650607,0.00650735,0.00649803,0.00656166,0.00599879,0.00610083,0.00652145,0.00614667,0.00590667,0.00633473,0.00578709,0.00689097
,0.00901522,0.00740872,0.00662315,0.00629718,0.00587496,0.0061485,0.00691856,0.00599973,0.00676016,0.00587116,0.00829364,0.00567831,0.00631948,0.00600587,0.00591403,0.0062455,0.00580644,0.00734178,0.00578443,0.00599405,0.00609365,0.00587831,0.00589627,0.0060048,0.00587281,0.00683622,0.00626508,0.00592496,0.00660859,0.0067605,0.00581401,0.00682224,0.00568138,0.00568401,0.00586381,0.0060031,0.0070564,0.00579141,0.00564149,0.00599894,0.00593162,0.00571425,0.00626092,0.00570144,0.0059602,0.0060203,0.00773177,0.00595641,0.00595734,0.00614295,0.00604212,0.00604794,0.00610118,0.0056433,0.00572696,0.00562232,0.00564333,0.00642225,0.00568236,0.00591898,0.00571314,0.00591088,0.00698493,0.0058857,0.00584081,0.006845,0.00569453,0.00595248,0.0059143,0.00655742,0.00634067,0.00582475,0.00585549,0.00605905,0.00575721,0.00639596,0.00589376,0.00570323,0.00576478,0.00873307,0.00808771,0.00577966,0.00645681,0.00572725,0.00813719,0.00586335,0.00576366,0.00591036,0.00605221,0.00598271,0.00620057,0.00614835,0.0061831,0.00586553,0.00609378,0.00596041,0.00601176,0.00613605,0.00698948,0.00649168
,0.00825729,0.00800041,0.00704197,0.00609148,0.00623489,0.00570721,0.00603847,0.00602175,0.00654374,0.00611497,0.00645007,0.00691796,0.00591034,0.00616766,0.00575169,0.00631044,0.00601141,0.0061973,0.00618142,0.00698795,0.00618345,0.00601154,0.00594279,0.00583991,0.00619038,0.00656493,0.00572781,0.00628745,0.00611859,0.00604395,0.00607253,0.00752558,0.0061003,0.00615935,0.00570964,0.00568806,0.00593588,0.00571612,0.0058191,0.00605198,0.00568829,0.00562397,0.00563613,0.00570121,0.00616688,0.00567582,0.0059941,0.00580841,0.00565477,0.00690542,0.00574123,0.00578413,0.00604819,0.00588399,0.00581949,0.0062149,0.00603357,0.0057795,0.0066577,0.00616333,0.00636455,0.00567657,0.00577931,0.00575574,0.00622713,0.00576158,0.00578723,0.00586937,0.00575683,0.00581343,0.00570274,0.00769875,0.00572857,0.00579007,0.0057709,0.00595854,0.0061936,0.00579647,0.00600379,0.00618117,0.0065057,0.00587353,0.00619745,0.00584723,0.0107224,0.00750149,0.00602014,0.00575706,0.00593359,0.00593727,0.00582744,0.00590721,0.00583632,0.00585843,0.00584674,0.00580706,0.00595566,0.00577666,0.00591585,0.00667533
,0.00786857,0.00804726,0.0064366,0.00597135,0.00601776,0.0067936,0.00607558,0.00625016,0.00603162,0.00660934,0.00642557,0.00596055,0.00616432,0.00571157,0.00613311,0.00605846,0.00608672,0.00613518,0.00612906,0.00621744,0.00615106,0.00621511,0.00565325,0.00572125,0.00588721,0.00600607,0.00604611,0.00587541,0.00626128,0.00588737,0.00561542,0.0063939,0.0058201,0.00568001,0.00559106,0.00598371,0.00568975,0.00710321,0.00560176,0.00584855,0.00661201,0.00684657,0.00696,0.00592564,0.00569535,0.00576283,0.00575557,0.00563203,0.00669078,0.00590036,0.00620836,0.0059949,0.00563377,0.00581141,0.00571461,0.00571617,0.00595346,0.00570295,0.00588129,0.00630671,0.00577272,0.00588497,0.00570801,0.00596513,0.00696199,0.00590033,0.00581208,0.00567538,0.00624245,0.00584539,0.00616912,0.00861639,0.00571342,0.00599495,0.00576661,0.00576188,0.0057986,0.00572738,0.0059356,0.00625915,0.00911309,0.00634417,0.00626526,0.00573058,0.0103892,0.00617212,0.00597116,0.00653906,0.00579973,0.0060281,0.00666358,0.00654747,0.00596391,0.00672949,0.00622852,0.00593308,0.00608768,0.00593071,0.00611685,0.00599579
,0.00773112,0.00790418,0.0064148,0.00641255,0.00605155,0.00601729,0.00609791,0.00621198,0.00597173,0.00589666,0.00613283,0.00571507,0.00602712,0.00701647,0.00587296,0.00695885,0.0059541,0.00605422,0.00613737,0.00607827,0.00618542,0.00597196,0.00621141,0.00622257,0.00581967,0.00586652,0.00584764,0.00704347,0.00645774,0.00567895,0.00601282,0.00573648,0.00569534,0.0057487,0.00602224,0.00581186,0.0056811,0.00585723,0.00561443,0.00602108,0.00586964,0.0058409,0.00578904,0.00587341,0.00722808,0.00652601,0.00692928,0.00609182,0.00590763,0.00572509,0.00685444,0.00585304,0.00633488,0.00588134,0.00576613,0.00840872,0.00581781,0.00649907,0.00566148,0.00599616,0.00582282,0.00578801,0.00613254,0.00575762,0.00610122,0.00678993,0.00641963,0.0069784,0.00597022,0.00613561,0.00568498,0.00860493,0.00585075,0.0059226,0.00606232,0.00608747,0.00589141,0.00647917,0.00571049,0.00590099,0.010811,0.00592678,0.00595212,0.00571979,0.00792983,0.00626922,0.00641011,0.00657781,0.00712836,0.00607128,0.00584859,0.00585957,0.00603007,0.00592617,0.00592115,0.00589159,0.00591766,0.00590474,0.00592984,0.00624254
,0.00807701,0.00880618,0.00623546,0.00616351,0.00580285,0.00601774,0.0059387,0.00601069,0.00623948,0.00610437,0.00598649,0.0056724,0.00657731,0.00596954,0.00584281,0.00599129,0.00582824,0.00604927,0.00587537,0.00583139,0.00600334,0.00749486,0.00587917,0.00615906,0.00585513,0.0058404,0.00625578,0.00603814,0.00648673,0.00669734,0.00581397,0.00595934,0.00573197,0.00721466,0.00568924,0.00570929,0.00591679,0.00558632,0.00623934,0.00593801,0.00565089,0.00576873,0.00596282,0.00757577,0.00585887,0.00570673,0.00585712,0.00594627,0.00578687,0.00566653,0.00606037,0.00567884,0.005831,0.00633777,0.00622104,0.00628551,0.00615967,0.00619809,0.0067194,0.00612065,0.00895555,0.00573025,0.00578355,0.00565081,0.00586894,0.00670654,0.00582059,0.0057732,0.0057022,0.00577597,0.00570875,0.00915054,0.00580072,0.00563127,0.00577122,0.00571177,0.00570808,0.0057642,0.00659656,0.00574719,0.00654284,0.00648293,0.00607963,0.00629977,0.00694791,0.00601805,0.00589135,0.00682653,0.00631928,0.00719602,0.00591567,0.00578369,0.00591249,0.00594057,0.00666979,0.00607972,0.00575301,0.00601251,0.00588984,0.00625058
,0.00800803,0.00731815,0.00638342,0.00611172,0.00688452,0.00577713,0.00625687,0.00600751,0.0065349,0.00580634,0.0059206,0.00683099,0.00595906,0.00595981,0.00581416,0.00624199,0.00801626,0.0061557,0.00610864,0.00643508,0.00608465,0.0071725,0.00598056,0.00581098,0.00616795,0.00600351,0.00588858,0.0060696,0.00610661,0.00596938,0.00586312,0.00585551,0.00602498,0.00579642,0.00572495,0.00679533,0.00578222,0.00668683,0.00579242,0.00609114,0.00638096,0.00568501,0.00619709,0.0069094,0.00560913,0.00573144,0.00592987,0.00564341,0.00661101,0.00625933,0.00627163,0.00582791,0.00562869,0.00619997,0.0057881,0.00564001,0.00572779,0.00574256,0.00572768,0.00576802,0.00575719,0.00615662,0.00565825,0.00607439,0.00640753,0.0068545,0.00565148,0.00575456,0.00587878,0.00706828,0.00642683,0.00746394,0.00575367,0.00581374,0.00605795,0.00582889,0.0057942,0.00587692,0.00581432,0.00590215,0.00617969,0.00589456,0.00596716,0.0058578,0.0074519,0.00590961,0.0058896,0.0061045,0.005863,0.00619451,0.00628332,0.00641664,0.00723891,0.0059951,0.00591688,0.00588028,0.00613711,0.00593845,0.00606311,0.00589977
,0.00775491,0.00717706,0.00633936,0.00610621,0.0060492,0.00618795,0.00601167,0.00590856,0.00629752,0.00680293,0.00600962,0.00646409,0.00588237,0.00597489,0.00609584,0.00576821,0.00744264,0.0060488,0.00604912,0.00612926,0.00609686,0.0064805,0.0061922,0.00572417,0.00614535,0.00601172,0.00603214,0.00569834,0.00625655,0.00582689,0.00598833,0.00563235,0.00588525,0.00561447,0.00706042,0.00597124,0.00565285,0.00591949,0.00611983,0.00615421,0.00585618,0.00637831,0.00570695,0.00603825,0.00665391,0.00664634,0.00579167,0.00679646,0.00631041,0.00595113,0.00753086,0.00573982,0.00664971,0.0061645,0.00571356,0.00653286,0.00722283,0.00614415,0.00586635,0.00729555,0.00591287,0.00590663,0.00595524,0.00571118,0.00576542,0.00608784,0.00609055,0.00660312,0.00582494,0.00579587,0.00577635,0.00905849,0.00574203,0.00572128,0.0061491,0.0063015,0.00574921,0.00571029,0.00655323,0.00579399,0.0058995,0.00589509,0.00597756,0.0059985,0.00763681,0.00708523,0.00596363,0.00575709,0.00589061,0.00595819,0.00594677,0.00601483,0.00583624,0.00580155,0.00581961,0.00654631,0.00590326,0.00633636,0.00602289,0.00708546
,0.00767252,0.007189,0.00642344,0.00606344,0.00619472,0.0061021,0.00606388,0.00595723,0.00606681,0.00649504,0.005997,0.00592215,0.00557969,0.00579105,0.00603767,0.00583886,0.00702743,0.00608826,0.00597523,0.00593305,0.00606851,0.00613642,0.00621358,0.00597179,0.00644317,0.00579863,0.00577232,0.00704657,0.00570906,0.00571095,0.00598148,0.00646824,0.0056212,0.00617382,0.00596641,0.0059754,0.00674456,0.00563962,0.00697585,0.00723162,0.00609192,0.00615048,0.0056775,0.0056627,0.00576222,0.00573895,0.00572442,0.00587389,0.00631256,0.00576212,0.00591014,0.00580091,0.00585349,0.00652478,0.00653702,0.00573107,0.0057476,0.0057689,0.00661085,0.00580337,0.00589762,0.00907889,0.00593262,0.00763792,0.00592018,0.00575999,0.00610159,0.00597274,0.00569179,0.00580086,0.005739,0.00649794,0.0056984,0.00601839,0.00571939,0.00655966,0.00578963,0.00568367,0.00586438,0.00581594,0.00591907,0.00735466,0.00646408,0.00639984,0.00611543,0.00593121,0.00584181,0.00602769,0.00589752,0.00636755,0.00744696,0.00676485,0.00581679,0.00614123,0.00614684,0.00592727,0.00699655,0.00594829,0.00610443,0.00598035
,0.00943039,0.00720835,0.00645851,0.0059529,0.00595314,0.00590769,0.00603331,0.00641752,0.00599371,0.00613263,0.00587809,0.00586622,0.0056816,0.00598617,0.00597591,0.00702606,0.00646333,0.0062184,0.00580309,0.00625969,0.00582768,0.0058665,0.00582431,0.00607402,0.00608494,0.00573056,0.00622344,0.00595514,0.00671658,0.00685221,0.0059604,0.00583568,0.00645624,0.00625203,0.0057714,0.0064996,0.00586614,0.00564585,0.00571903,0.00625884,0.00567585,0.00581211,0.00562692,0.00608889,0.00816756,0.00598189,0.00589644,0.0058291,0.00662238,0.00604189,0.00568414,0.00718585,0.00599779,0.00574153,0.00578818,0.00561041,0.00754193,0.00568267,0.00574221,0.00571859,0.00579722,0.00617225,0.00574399,0.00574012,0.00644669,0.00611101,0.00576037,0.00578461,0.00576347,0.00662135,0.00586731,0.00591026,0.00573824,0.00575151,0.00636024,0.00593365,0.00587521,0.00569248,0.00580708,0.00581692,0.00629791,0.00782521,0.00604161,0.0058814,0.0061775,0.00599363,0.00735134,0.00581768,0.00615765,0.00595231,0.00585589,0.00595274,0.0061037,0.00589828,0.00589819,0.00580504,0.00595434,0.00582124,0.00597801,0.00599321
,0.00858435,0.0091451,0.00645663,0.00641931,0.00597534,0.00589204,0.00581927,0.00607132,0.00725326,0.00592661,0.00605931,0.00595071,0.00623881,0.00599199,0.00600465,0.00597989,0.00629405,0.0065464,0.00695035,0.00605837,0.00571746,0.00637634,0.00566236,0.00591654,0.00637381,0.0065411,0.00569792,0.00618637,0.00594922,0.00604391,0.005921,0.00586647,0.00590177,0.00614951,0.00569098,0.00621896,0.0058598,0.00596127,0.00568023,0.00600898,0.00681623,0.00589589,0.00600106,0.00610937,0.00642001,0.00623359,0.00572282,0.0057093,0.00651269,0.00598567,0.00617549,0.00589888,0.00670773,0.0058728,0.00570855,0.00610441,0.00634474,0.00702057,0.00573144,0.00595153,0.00634193,0.0061277,0.0062871,0.0057232,0.00581233,0.00582542,0.00652412,0.00615782,0.00571278,0.00577957,0.00564643,0.00601823,0.00577497,0.00575888,0.00573127,0.00567319,0.00581378,0.0060839,0.00607119,0.00577637,0.00880822,0.00811125,0.00587933,0.0063709,0.00584705,0.00623349,0.00586618,0.00580718,0.00597985,0.00754727,0.00580366,0.00572181,0.00584128,0.00580487,0.00692868,0.00601596,0.00578179,0.00598755,0.00579522,0.00641805
,0.0119028,0.00729037,0.00637305,0.00633655,0.00662571,0.00577472,0.00622104,0.00588305,0.00656955,0.00587081,0.00652354,0.00596309,0.00601513,0.0059644,0.00617224,0.00618831,0.00611171,0.0061073,0.0062461,0.00615211,0.0065873,0.00582545,0.00627305,0.00581008,0.00644617,0.00604898,0.00605945,0.00569174,0.00576733,0.00578257,0.00649468,0.00574954,0.00577341,0.00671978,0.00617617,0.00627995,0.00597209,0.00665576,0.0057096,0.00590082,0.00583232,0.00581797,0.00575478,0.00560292,0.00586582,0.00569671,0.00825909,0.00592662,0.00629357,0.00595452,0.0064662,0.00586853,0.00585367,0.00685674,0.00618235,0.00578042,0.00617783,0.00570665,0.00678623,0.00595708,0.0057369,0.00692368,0.00572281,0.00654887,0.00571078,0.00565455,0.00617005,0.00594495,0.00682283,0.00590707,0.00589311,0.0060714,0.00577619,0.00580719,0.00600062,0.00569883,0.00578842,0.00600531,0.00639496,0.00627464,0.00583663,0.0090439,0.00584611,0.0058588,0.00579029,0.00690823,0.00590387,0.00597267,0.00570813,0.00597901,0.00603166,0.00609868,0.00644249,0.00605501,0.00598192,0.00589294,0.00605495,0.00595823,0.0061099,0.00597253
,0.00944495,0.00714507,0.00708463,0.00627543,0.0062751,0.00623605,0.0059569,0.00589181,0.00626196,0.00722776,0.00630977,0.00595207,0.00620011,0.00584488,0.00588769,0.0059093,0.00597731,0.00610018,0.00606379,0.00616262,0.00598808,0.00578971,0.00603351,0.00602108,0.00610439,0.00609047,0.00574722,0.00632714,0.00579129,0.00604352,0.00610187,0.00619027,0.00559,0.00588175,0.00568889,0.0056656,0.0061429,0.00619143,0.00616072,0.00572851,0.00566076,0.00561334,0.00563545,0.00612674,0.00566743,0.00574153,0.00719397,0.00570793,0.00596652,0.00772634,0.00615624,0.00656981,0.00585578,0.0065107,0.00594817,0.0055989,0.00632806,0.00576701,0.00574355,0.00646293,0.0061502,0.00575642,0.00564788,0.00584076,0.00611085,0.0060687,0.00586928,0.00589575,0.00594182,0.00605601,0.00572669,0.00589574,0.00576365,0.00580106,0.00571603,0.00573874,0.00572482,0.00607788,0.00646803,0.005818,0.00586719,0.0082291,0.00587554,0.0057423,0.00741745,0.00616993,0.00600027,0.00597301,0.00618384,0.00583821,0.00584844,0.00586927,0.00600991,0.00588403,0.0059582,0.0062544,0.00584905,0.00724019,0.00592698,0.00736707
,0.00856686,0.00710309,0.00649792,0.0061556,0.00610298,0.00614916,0.00606037,0.00604784,0.00603362,0.0060093,0.00608213,0.00570772,0.00569502,0.00718295,0.00588408,0.00595096,0.00576262,0.006088,0.0057582,0.00610822,0.00666317,0.00576158,0.00583146,0.00605746,0.00628557,0.00571418,0.00615751,0.00587394,0.00631885,0.00623321,0.00568971,0.00588152,0.0068145,0.00577685,0.00557033,0.00669541,0.0059482,0.00635444,0.00579737,0.00668951,0.00678804,0.0064582,0.00600936,0.00578732,0.00722356,0.00617505,0.00656749,0.00563665,0.00622561,0.00601682,0.00561659,0.00590584,0.00564759,0.00623867,0.00565573,0.00584469,0.00574849,0.00639107,0.00572557,0.0058558,0.00585893,0.00580777,0.00612246,0.00566569,0.00583627,0.00577828,0.00586243,0.00604955,0.00575426,0.00586358,0.00595709,0.00604503,0.00580011,0.00575177,0.00567849,0.00578624,0.00572601,0.00582433,0.00593621,0.00575667,0.00586342,0.00667957,0.00577914,0.00584105,0.00589777,0.00580861,0.00577615,0.00614906,0.00587445,0.00609472,0.00679111,0.00699339,0.00576804,0.00714506,0.00609173,0.0059136,0.00755354,0.00601882,0.00590901,0.00592713
,0.00803644,0.00695338,0.0064281,0.00600133,0.00595776,0.00589384,0.00597114,0.00756361,0.00585946,0.00596139,0.00590032,0.00559463,0.00672249,0.00600725,0.00584728,0.00656708,0.0059845,0.00625884,0.00652643,0.00575725,0.00632776,0.00641876,0.00563395,0.00598026,0.00617975,0.00679518,0.00590453,0.00626173,0.00583899,0.00618392,0.00582394,0.00589827,0.00586113,0.0056228,0.00747892,0.00595511,0.00579198,0.00571707,0.00558189,0.00575635,0.00583844,0.00595498,0.00602861,0.00564127,0.00621041,0.00596702,0.00599506,0.00680855,0.00614535,0.00581682,0.00599672,0.00606724,0.00634743,0.00637348,0.0064218,0.00621115,0.00574096,0.00584659,0.00691597,0.00565682,0.00576009,0.00699448,0.00577662,0.00678951,0.00568738,0.00575511,0.00577912,0.0056912,0.00641399,0.00642111,0.00648049,0.0059567,0.0057345,0.0057429,0.00576941,0.00582477,0.00575579,0.00573464,0.00585489,0.00584639,0.00582972,0.00602525,0.00613318,0.00572329,0.00652879,0.00586385,0.00604818,0.00581945,0.0069263,0.00586265,0.00587078,0.00586278,0.00605966,0.00583426,0.00598011,0.00591439,0.00604473,0.00598209,0.00602053,0.00631547
,0.00886973,0.00782439,0.00645901,0.00647603,0.0057762,0.00587479,0.00586022,0.0071017,0.00685876,0.00577482,0.00574406,0.00689076,0.00598057,0.00624895,0.00578753,0.00625839,0.00619992,0.00611698,0.00615002,0.00620744,0.00638489,0.00594864,0.00643928,0.00573151,0.00597396,0.00583394,0.00620237,0.00636963,0.00586388,0.00567129,0.00599429,0.00565948,0.00570196,0.00569808,0.00592419,0.00566843,0.00663755,0.00601892,0.00602641,0.00608239,0.0059778,0.00588456,0.00586448,0.00644174,0.00560583,0.00568233,0.00577935,0.00597873,0.00564428,0.0062221,0.00604501,0.00577151,0.00573431,0.00626369,0.00607479,0.00616661,0.00739999,0.00614616,0.00596805,0.0063534,0.00569388,0.00588008,0.00621742,0.00580654,0.00592911,0.00607354,0.00667932,0.00784567,0.00589336,0.00587738,0.00607772,0.00639045,0.0059306,0.00579985,0.00581991,0.00574077,0.00568808,0.00625896,0.00611043,0.00597261,0.00581372,0.00624143,0.00584792,0.00582817,0.00760775,0.00725019,0.00596601,0.00583062,0.00592859,0.00630593,0.00576206,0.0057251,0.00583231,0.00590008,0.0067632,0.00609151,0.00586364,0.00625958,0.00582647,0.00605117
,0.00895082,0.00717178,0.00650799,0.00660501,0.00663141,0.00746208,0.00669771,0.00704772,0.00629932,0.00577637,0.00685483,0.00626145,0.00585594,0.00579167,0.00654153,0.00604734,0.00621144,0.00589945,0.00590903,0.00624094,0.006202,0.00580945,0.00591777,0.00576596,0.00574787,0.00576698,0.00595596,0.00672866,0.00582502,0.00598117,0.00748369,0.00592191,0.00569652,0.00566741,0.00595648,0.00561641,0.00589123,0.00656271,0.00565213,0.00561081,0.0060304,0.00560285,0.00668475,0.00597394,0.00721788,0.00574005,0.00676038,0.00578902,0.00687494,0.00590343,0.00565539,0.00591764,0.00565625,0.00579435,0.00595234,0.00603055,0.00629281,0.00629986,0.00580839,0.00582114,0.00579121,0.00575827,0.00606091,0.00843581,0.00573486,0.00582234,0.00595465,0.00731235,0.00568532,0.00568419,0.00598397,0.00613165,0.00581396,0.00569074,0.00569506,0.00579776,0.00575924,0.00587313,0.00723362,0.0059421,0.00589815,0.00636097,0.00586157,0.00579587,0.00674156,0.00611212,0.00617111,0.00636917,0.00592077,0.00585718,0.00625076,0.00632334,0.00677833,0.00616917,0.00586352,0.0059895,0.00627373,0.0058704,0.00749875,0.00589769
